Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
What singer did Beyonce record a song with for the movie, ''The Best Man"?	Marc Nelson	['John Legend', 'Celine Dion', 'Lauryn Hill']	None	None	PERSON	{'PERSON'}	
Where did Destiny's Child get their name from?	Book of Isaiah.	['African American', 'North American', 'Native American']	None	None	NORP	{'NORP'}	
Destiny's Child song, Killing Time, was included in which film's soundtrack?	Men in Black.	[]	None	None	None	set()	
What was Destiny's Child's first major song hit?	No, No, No	[]	None	None	None	set()	
When did Destiny's Child release their second album?	1999	['days', '1970s', 'year']	None	None	DATE	{'DATE'}	
Who did Beyoncé sing a duet with for "The Best Man" film?	Marc Nelson	['John Legend', 'Celine Dion', 'Lauryn Hill']	None	None	PERSON	{'PERSON'}	
What mental health issue did Beyonce go through?	depression	["New York's", 'New Orleans', 'New Zealand']	None	None	GPE	{'GPE'}	
What event occured after she was publicly criticized?	boyfriend left her	["the First Couple's", "Destiny's Child", "Destiny's Child's"]	None	None	ORG	{'ORG'}	
Who supported Beyonce through her depression?	her mother	[]	None	None	None	set()	
What event caused Beyonce's depression?	split with Luckett and Rober	[]	None	None	None	set()	
How long was Beyonce depressed?	a couple of years	['Album of the Year', "two of the decade's", 'over twenty years']	None	None	DATE	{'DATE'}	
Who helped Beyonce fight her depression the most?	her mother	[]	None	None	None	set()	
Who replaced Luckett and Roberson in Destiny's Child?	Farrah Franklin and Michelle Williams.	[]	None	None	None	set()	
Who was blamed for Luckett and Roberson leaving Destiny's Child?	Beyoncé	['Bonnie & Clyde', 'CSPINET', 'Spotify']	None	None	ORG	{'ORG'}	
Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?	her mother	[]	None	None	None	set()	
Which newest member was removed from Destiny's Child?	Farrah Franklin	['single "Déjà Vu"', 'Osama bin Laden', 'Michael Jackson']	None	None	PERSON	{'PERSON'}	
"Charlie's Angels" featured which single from the band members?	Independent Women Part I	['Artist of the Millennium', 'Best Original Song for "', 'Milk Famous (']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
How many weeks did their single "Independent Women Part I" stay on top?	eleven	[]	None	None	None	set()	
For what network, did Beyonce land a major movie role in?	MTV	['HBO', 'VH1', 'NME']	None	None	ORG	{'ORG'}	
Their third album, Survivor, sold how many during its first week?	663,000 copies	['March 26, 2013', 'March 30, 2015', 'March 5, 2010']	None	None	DATE	{'DATE'}	
What French composer wrote the original opera ''Carmen'' in the 19th century?	Georges Bizet	['single "Déjà Vu"', 'Best Song', "Wyclef Jean's"]	None	None	PERSON	{'PERSON'}	
What album caused a lawsuit to be filed in 2001?	Survivor	['Heat Rush', 'Soldier', 'Flawless']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Independent Women Part I was on which 2000 film's soundtrack?	Charlie's Angels.	[]	None	None	None	set()	
Which film did Beyoncé star in 2001 with Mekhi Phifer?	Carmen: A Hip Hopera	['her album 4', 'more than eight million', 'one million']	None	None	CARDINAL	{'CARDINAL'}	
What was the name of Destiny Child's third album?	Survivor	['Heat Rush', 'Flawless', 'Soldier']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who filed a lawsuit over Survivor?	Luckett and Roberson	['her album 4', 'one million', '118 million']	None	None	CARDINAL	{'CARDINAL'}	
When did Destiny's Child announce their hiatus?	October 2001	['October 2002', 'October 2014', 'recent years']	None	None	DATE	{'DATE'}	
Who did Beyonce star with in the movie, "Austin Powers in Goldmember"?	Mike Myers	['Kanye West', 'Queen Tara', 'Tyra Banks']	None	None	PERSON	{'PERSON'}	
Which three countries did Beyonce's song "Work It Out" achieve top ten status?	UK, Norway, and Belgium	[]	None	None	None	set()	
Beyonce starred with Cuba Gooding Jr. in which film?	The Fighting Temptations	[]	None	None	None	set()	
Who did Beyonce record the lead single with in the movie "The Fighting Temptations"?	Missy Elliott	['Janet Jackson', 'Best R&B Song', "Wyclef Jean's"]	None	None	PERSON	{'PERSON'}	
Which other song from the soundtrack did better in the charts?	Summertime	["Blue Ivy's", 'Best Original Song for "', 'I Was Here']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What film did Beyonce appear in with Mike Myers?	Austin Powers in Goldmember	[]	None	None	None	set()	
What large amount did the movie "Goldmember" gross?	73 million	[]	None	None	None	set()	
What genre of movie did Beyonce star in with Cuba Gooding, Jr?	musical comedy	[]	None	None	None	set()	
What song was the lead single from the film's sound track?	Fighting Temptations	[]	None	None	None	set()	
How did the critics view the movie, ''The Fighting Temptations''?	mixed reviews	[]	None	None	None	set()	
What film did Beyoncé star in with Mike Myers in 2002?	Austin Powers in Goldmember	[]	None	None	None	set()	
What was Beyoncé's character called in Austin Powers in Goldmember?	Foxxy Cleopatra	['Bridgit Mendler', 'Blue Ivy Carter', 'Jessica Sanchez']	None	None	PERSON	{'PERSON'}	
Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?	Work It Out	['Love on Top', 'End of Time', 'the I Am...']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?	The Fighting Temptations	[]	None	None	None	set()	
What song did Beyoncé release as the lead single from The Fighting Tempations?	Fighting Temptations	[]	None	None	None	set()	
What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?	number four	[]	None	None	None	set()	
Beyonce's first album by herself was called what?	Dangerously in Love	['Drunk in Love', 'Crazy in Love', 'Best Original Song for "']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
How many has "Dangerously in Love" sould worldwide since its debut?	11 million	['half', '15 million', '60 million']	None	None	CARDINAL	{'CARDINAL'}	
Beyonce's first number one song was which song?	Crazy in Love	['Men in Black', 'Beyoncé for Essence', 'Fashion For Haiti']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
How many top five singles came from her first album?	four	['five', 'Five', 'nine']	None	None	CARDINAL	{'CARDINAL'}	
Beyonce's first solo album in the U.S. with what artist in the lead single?	Jay Z	['Baker', 'Gray', 'Halo']	None	None	PERSON	{'PERSON'}	
What solo album did Beyonce release in 2003?	Dangerously in Love	['Drunk in Love', 'Crazy in Love', 'Beyoncé for Essence']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
 The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?	number four	[]	None	None	None	set()	
"The Closer I get to You" was recorded with which artist?	Luther Vandross	['Osama bin Laden', 'single "Déjà Vu"', 'Blue Ivy Carter']	None	None	PERSON	{'PERSON'}	
Which artist was associated with Beyoncé's premiere solo recording?	Jay Z	['Baker', 'Gray', 'Halo']	None	None	PERSON	{'PERSON'}	
When did Beyoncé release her first solo album?	June 24, 2003	['June 28, 2011', 'June 11, 2005', 'the age of 18']	None	None	DATE	{'DATE'}	
What is the lead single on Beyoncé's first album?	Crazy in Love	['Men in Black', 'Beyoncé for Essence', 'Fashion For Haiti']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?	Luther Vandross.	[]	None	None	None	set()	
How many awards did Beyoncé win at the 46th Grammy's Awards?	five.	[]	None	None	None	set()	
Destiny's Child's final album was named what?	Destiny Fulfilled	['Fashion For Haiti', 'Wishing on a Star', 'Dangerously in Love 2']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Destiny's Child got a star on the Hollywood Walk of Fame in what year?	2006	['2004', '2008', '2002']	None	None	DATE	{'DATE'}	
In what year did Beyonce embark on her Dangerously in Love tour of Europe?	November 2003	['November 2013', 'June 24, 2003', 'February 2013']	None	None	DATE	{'DATE'}	
What was the name of the final album of Destiny's Child?	Destiny Fulfilled	['Fashion For Haiti', 'Best Original Song for "', 'Wishing on a Star']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
It was announced that Destiny's Child would  disban in what European city?	Barcelona	['R&B singles', 'Amsterdam', 'Manhattan']	None	None	GPE	{'GPE'}	
When did Destiny's Child get their star on the Hollywood Walk of Fame?	March 2006	['March 2009', 'the decade', 'March 2014']	None	None	DATE	{'DATE'}	
What was the name of Beyoncé's European start that started in November 2003?	Dangerously in Love Tour	[]	None	None	None	set()	
Who did Beyoncé tour with for the Verizon Lades First Tour?	Missy Elliott and Alicia Keys	[]	None	None	None	set()	
What major event did Beyoncé perform at on February 1, 2004?	Super Bowl XXXVIII	['the Super Bowl half', 'Super Bowl 50', 'the Super Bowl']	None	None	EVENT	{'EVENT'}	
What is the name of the final studio album from Destiny's Child?	Destiny Fulfilled.	['the Book of Isaiah', 'Me, Myself and I', 'Single Ladies (']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
How many albums did Beyonce sell in the first week when she released her second album?	541,000	['663,000', '482,000', '317,000']	None	None	CARDINAL	{'CARDINAL'}	
The lead single from the album was which song?	Déjà Vu	['Baby Boy', 'Video Phone', 'Soldier']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
How many countries did her song "Irreplaceable" get number one status in?	five	['nine', 'four', 'her album 4']	None	None	CARDINAL	{'CARDINAL'}	
How many singles did her second album produce?	five	['nine', 'four', 'her album 4']	None	None	CARDINAL	{'CARDINAL'}	
What birthday did Beyonce's album B'Day celebrate?	twenty-fifth birthday	[]	None	None	None	set()	
What artist did Beyonce duet with in the single, "Deja Vu''?	Jay Z	["Wyclef Jean's", 'Baker', "Tom Ford's"]	None	None	PERSON	{'PERSON'}	
How high did ''Deja Vu'' climb on the Billboard chart?	top five	[]	None	None	None	set()	
What is the name of Beyoncé's second album?	B'Day	['Jay Z', 'Baker', 'Touré']	None	None	PERSON	{'PERSON'}	
How many copies did B'Day sell during the first week of its release?	541,000	['663,000', '482,000', '317,000']	None	None	CARDINAL	{'CARDINAL'}	
Who collaborated with Beyoncé on the single, Deja Vu?	Jay Z	["Wyclef Jean's", 'Baker', "Tom Ford's"]	None	None	PERSON	{'PERSON'}	
Which single from B'Day was only released in the U.K.?	Green Light	['Love on Top', 'End of Time', 'Baby Boy']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What movie did Beyonce act in 2006?	The Pink Panther	['The Beyontourage', 'Eat, Play, Love', 'Single Ladies (']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Her second movie Beyonce did was what film?	Dreamgirls	['Tyra Banks', 'Queen Tara', 'Jimmy Jazz']	None	None	PERSON	{'PERSON'}	
The single, "Listen" was featured in which movie?	Dreamgirls	['Tyra Banks', 'Queen Tara', 'Kanye West']	None	None	PERSON	{'PERSON'}	
Beyonce's first world tour was when?	2007	['2004', '2008', '2002']	None	None	DATE	{'DATE'}	
How much money did Beyonce's tour make in 2007?	24 million	[]	None	None	None	set()	
How many millions of dollars did ''The Pink Panther'' gross world-wide?	158.8 million	[]	None	None	None	set()	
What did Beyonce call her first concert tour?	The Beyoncé Experience	['God Made You Beautiful', 'Eat, Play, Love', 'Dangerously in Love 2']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who was Beyonce's duet with in ''Beautiful Liar''?	Shakira	['Spotify', 'CSPINET', 'Beyoncé']	None	None	ORG	{'ORG'}	
Which film did Beyoncé star with Steve Martin in?	The Pink Panther	['The Beyontourage', 'Eat, Play, Love', 'Single Ladies (']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Beyoncé's role in Dreamgirls was based on what pop singer?	Diana Ross.	[]	None	None	None	set()	
What was the lead single for the Dreamgirls soundtrack?	Listen	[]	None	None	None	set()	
What was the name of Beyoncé's first international tour?	The Beyoncé Experience	['God Made You Beautiful', 'Eat, Play, Love', 'Dangerously in Love 2']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What pop singer did a duet with Beyoncé on Beautiful Liar?	Shakira	['Spotify', 'CSPINET', 'Beyoncé']	None	None	ORG	{'ORG'}	
Beyonce got married in 2008 to whom?	Jay Z	['Baker', 'Gray', 'Halo']	None	None	PERSON	{'PERSON'}	
Her third album, "I am...Sasha Fierce" was released when?	November 18, 2008	['a couple of years', 'over twenty years', 'November 15, 2004']	None	None	DATE	{'DATE'}	
For which decade, did Beyonce have more top ten songs than any other woman?	2000s	[]	None	None	None	set()	
Which singer beat out Beyonce for best video performance?	Taylor Swift	['57th', '43rd', '55th']	None	None	ORDINAL	{'ORDINAL'}	
In 2009, Beyonce started her second world tour and grossed how much money?	119.5 million	[]	None	None	None	set()	
How did she reveal the marriage?	in a video montage	['African American', 'North American', 'Libyan']	None	None	NORP	{'NORP'}	
When did Beyonce begin her second world tour?	March 2009	['March 2006', 'March 2014', 'March 5, 2010']	None	None	DATE	{'DATE'}	
Who beat out Beyonce for Best Female Video ?	Taylor Swift	['57th', '43rd', '55th']	None	None	ORDINAL	{'ORDINAL'}	
How much did the second world tour make in dollars?	119.5 million	[]	None	None	None	set()	
When did Beyoncé get married?	April 4, 2008	['November 2003', 'November 2013', 'June 24, 2003']	None	None	DATE	{'DATE'}	
Who did Beyoncé marry?	Jay Z.	["Jay Z's", 'Carmen', 'Sharon']	None	None	PERSON	{'PERSON'}	
Who is Beyoncé's alter ego?	Sasha Fierce	['Emmett Price', 'Philip Green', 'Mariah Carey']	None	None	PERSON	{'PERSON'}	
The video for what song won Beyoncé the 2009 MTV Video of the Year award?	Single Ladies	['Demand A Plan', 'Milk Famous (', 'Back to Black']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?	Kanye West	['André 3000', 'Queen Tara', 'Tyra Banks']	None	None	PERSON	{'PERSON'}	
Beyonce portrayed which character in the film, Cadillac Records?	Etta James	['André 3000', 'Tyra Banks', 'Queen Tara']	None	None	PERSON	{'PERSON'}	
Beyonce gave her entire salary from Cadillac Records to which organization?	Phoenix House	['The Jackson 5', 'Azealia Banks', 'Star Phoenix']	None	None	ORG	{'ORG'}	
Which song did Beyonce sing at the first couple's inaugural ball? 	At Last	['Rise Up', 'Soldier', 'I Care']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What genre of film was the movie, Obsessed, in which Beyonce starred in?	thriller	[]	None	None	None	set()	
A fight scene from the movie, Obsessed, won which award for Beyonce?	MTV Movie Award for Best Fight	["The B'Day Anthology Video Album", 'the Verizon Ladies First Tour', 'the ONE Campaign']	None	None	ORG	{'ORG'}	
Where did Beyonce donate her salary from the movie Cadillac Records?	Phoenix House	['The Jackson 5', 'Azealia Banks', 'Star Phoenix']	None	None	ORG	{'ORG'}	
What thriller film did Beyonce star in?	Obsessed	[]	None	None	None	set()	
What was the name of the woman she played in Obsessed?	Sharon Charles	["Wyclef Jean's", "Taylor Swift's", 'Chris Richards']	None	None	PERSON	{'PERSON'}	
How much more that the buget did the film gross?	60 million	['half', '11 million', '15 million']	None	None	CARDINAL	{'CARDINAL'}	
Which singer did Beyoncé portray in Cadillac Records?	Etta James	['André 3000', 'Tyra Banks', 'Queen Tara']	None	None	PERSON	{'PERSON'}	
Which organization received Beyoncé's entire Cadillac Records salary?	Phoenix House	['Azealia Banks', 'The Jackson 5', 'Star Phoenix']	None	None	ORG	{'ORG'}	
Where did Beyoncé perform on January 20, 2009?	the First Couple's first inaugural ball.	[]	None	None	None	set()	
Which thriller film did Beyoncé star in with Ali Larter?	Obsessed.	[]	None	None	None	set()	
How many awards was Beyonce nominated for at the 52nd Grammy Awards?	ten	['two', 'one', '108']	None	None	CARDINAL	{'CARDINAL'}	
Beyonce tied with which artist for most nominations by a female artist?	Lauryn Hill	['John Legend', 'Anita Baker', 'Alice Jones']	None	None	PERSON	{'PERSON'}	
In 2010, Beyonce worked with which other famous singer?	Lady Gaga	['Best Song', 'Sam Smith', 'Suga Mama']	None	None	PERSON	{'PERSON'}	
How many number one singles did Beyonce now have after the song "Telephone"?	six	['one', 'two', '200']	None	None	CARDINAL	{'CARDINAL'}	
Beyonce tied who for most number one singles by a female?	Mariah Carey	['Emmett Price', 'Philip Green', 'André 3000']	None	None	PERSON	{'PERSON'}	
Beyonce received how many nominations at the 52nd Annual Grammy Awards?	ten nominations	['January 7, 2016', 'January 7, 2012', 'August 24, 2014']	None	None	DATE	{'DATE'}	
What song was the sixth first place song for Beyonce?	Telephone	[]	None	None	None	set()	
Who else appeared with Beyonce in Telephone?	Lady Gaga	['Best Song', 'Sam Smith', 'Suga Mama']	None	None	PERSON	{'PERSON'}	
Who did they tie with for six top songs?	Mariah Carey	['Emmett Price', 'Philip Green', 'Cuba Gooding']	None	None	PERSON	{'PERSON'}	
Who did Beyonce tie with for the most nominations in a year?	Lauryn Hill	['John Legend', 'Anita Baker', 'Alice Jones']	None	None	PERSON	{'PERSON'}	
How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?	ten	['two', 'one', '108']	None	None	CARDINAL	{'CARDINAL'}	
Who did Beyoncé tie with for the most Grammy nominations for female artists?	Lauryn Hill	['John Legend', 'Anita Baker', 'Alice Jones']	None	None	PERSON	{'PERSON'}	
Beyoncé was a featured artist on which singer's hit, Telephone?	Lady Gaga	['Best Song', 'Sam Smith', 'Suga Mama']	None	None	PERSON	{'PERSON'}	
Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?	Mariah Carey	['Emmett Price', 'Philip Green', 'Cuba Gooding']	None	None	PERSON	{'PERSON'}	
Beyonce would take a break from music in which year?	2010	['2012', '2013', '2011']	None	None	DATE	{'DATE'}	
Which year did Beyonce and her father part business ways?	2010	['2012', '2013', '2011']	None	None	DATE	{'DATE'}	
